stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
1,000001,"Herschel Street Stop 1 near North Quay",, -27.467834, 153.019079,1,https://translink.com.au/stop/000001/gtfs/,0,,
10,000010,"Ann Street Stop 10 at King George Square",, -27.468003, 153.023970,1,https://translink.com.au/stop/000010/gtfs/,0,,
100,000100,"Parliament Stop 94A Margaret St",, -27.473751, 153.026745,1,https://translink.com.au/stop/000100/gtfs/,0,,
1000,001000,"Handford Rd at Songbird Way",, -27.339069, 153.043907,2,https://translink.com.au/stop/001000/gtfs/,0,,
10000,010000,"Balcara Ave near Allira Cr",, -27.344106, 153.024982,2,https://translink.com.au/stop/010000/gtfs/,0,,
10001,010001,"Nudgee Rd at Golf Course, stop 35/32",, -27.372056, 153.099150,2,https://translink.com.au/stop/010001/gtfs/,0,,
10002,010002,"Nudgee Rd at Golf Course, stop 32/35",, -27.372637, 153.098032,2,https://translink.com.au/stop/010002/gtfs/,0,,
10003,010003,"Approach Rd near Mellifont St, stop 31",, -27.382612, 153.090391,2,https://translink.com.au/stop/010003/gtfs/,0,,
10005,010005,"Handford Rd at Songbird Way",, -27.339592, 153.042985,2,https://translink.com.au/stop/010005/gtfs/,0,,
10006,010006,"Redwood St at Farrant Street",, -27.402593, 153.007388,2,https://translink.com.au/stop/010006/gtfs/,0,,
10007,010007,"Ridge St at St Vincents, stop 19",, -27.385924, 153.062459,2,https://translink.com.au/stop/010007/gtfs/,0,,
10008,010008,"Ridge St at Scott Street, stop 18",, -27.387328, 153.063647,2,https://translink.com.au/stop/010008/gtfs/,0,,
10009,010009,"Ridge St at Scott Street, stop 18",, -27.386816, 153.063368,2,https://translink.com.au/stop/010009/gtfs/,0,,
1001,001001,"Queen Street station, 1e",, -27.470552, 153.024575,1,https://translink.com.au/stop/001001/gtfs/,0,place_qsbs,1e
10010,010010,"Saint Vincents Rd near Ridge St, stop 19",, -27.385663, 153.061812,2,https://translink.com.au/stop/010010/gtfs/,0,,
